date,l_ipn,r_asn,f
2006-07-23,5,10565,1
2006-07-23,5,10933,2
2006-07-23,5,11274,1
2006-07-23,5,11486,15
2006-07-23,5,12168,1
2006-07-23,5,12182,1
2006-07-23,5,12222,14
2006-07-23,5,13601,31
2006-07-23,5,13649,2
2006-07-23,5,13749,2
2006-07-23,5,13867,2
2006-07-23,5,14173,1
2006-07-23,5,14446,59
2006-07-23,5,14743,69
2006-07-23,5,14744,4
2006-07-23,5,14776,4
2006-07-23,5,14779,13
2006-07-23,5,14780,2
2006-07-23,5,14829,3
2006-07-23,5,15169,93
2006-07-23,5,16509,11
2006-07-23,5,20115,2
2006-07-23,5,21568,3
2006-07-23,5,21844,120
2006-07-23,5,22781,3
2006-07-23,5,23719,7
2006-07-23,5,25751,9
2006-07-23,5,26085,15
2006-07-23,5,26101,107
2006-07-23,5,26201,3
2006-07-23,5,26277,1
2006-07-23,5,30015,1
2006-07-23,5,30209,4
2006-07-23,5,30496,2
2006-07-23,5,30983,1
2006-07-23,5,33739,5
2006-07-23,5,36839,2
2006-07-24,5,8,2
2006-07-24,5,2152,2
2006-07-24,5,3257,1
2006-07-24,5,3269,2
2006-07-24,5,3340,1
2006-07-24,5,3491,2
2006-07-24,5,3561,3
2006-07-24,5,4134,2
2006-07-24,5,4230,1
2006-07-24,5,4766,6
2006-07-24,5,4812,2
2006-07-24,5,4837,15
2006-07-24,5,5408,2
2006-07-24,5,6746,1
2006-07-24,5,7132,3
2006-07-24,5,8070,5
2006-07-24,5,8075,6
2006-07-24,5,9370,2
2006-07-24,5,9457,2
2006-07-24,5,13867,2
2006-07-24,5,14117,2
2006-07-24,5,14280,1
2006-07-24,5,18812,1
2006-07-24,5,25369,1
2006-07-24,5,27699,1
2006-07-24,5,30983,1
2006-07-25,5,1955,2
2006-07-25,5,2152,4
2006-07-25,5,3462,1
2006-07-25,5,3561,3
2006-07-25,5,3595,2
2006-07-25,5,3786,2
2006-07-25,5,4134,2
2006-07-25,5,4713,2
2006-07-25,5,5713,1
2006-07-25,5,6140,2
2006-07-25,5,6867,1
2006-07-25,5,7018,1
2006-07-25,5,7132,1
2006-07-25,5,8070,7
2006-07-25,5,8075,3
2006-07-25,5,8167,1
2006-07-25,5,9156,1
2006-07-25,5,13041,1
2006-07-25,5,13867,2
2006-07-25,5,15169,4
2006-07-25,5,16735,1
2006-07-25,5,17964,34
2006-07-25,5,21844,1
2006-07-25,5,22026,1
2006-07-25,5,22653,2
2006-07-25,5,22781,1
2006-07-25,5,24900,1
2006-07-25,5,26085,1
2006-07-25,5,26101,2
2006-07-25,5,26201,1
2006-07-26,5,1239,2
2006-07-26,5,2152,2
2006-07-26,5,3356,1
2006-07-26,5,3561,1
2006-07-26,5,4134,2
2006-07-26,5,4837,22
2006-07-26,5,5778,2
2006-07-26,5,8070,4
2006-07-26,5,8075,5
2006-07-26,5,8522,2
2006-07-26,5,13867,2
2006-07-26,5,17775,2
2006-07-26,5,18942,2
2006-07-26,5,22773,1
2006-07-26,5,24900,2
2006-07-26,5,24940,1
2006-07-26,5,28753,1
2006-07-26,5,33130,1
2006-07-26,5,35216,2
2006-07-27,5,27,1
2006-07-27,5,2152,3
2006-07-27,5,3209,3
2006-07-27,5,3561,1
2006-07-27,5,3786,2
2006-07-27,5,4812,2
2006-07-27,5,5617,2
2006-07-27,5,6364,2
2006-07-27,5,6724,3
2006-07-27,5,7018,6
2006-07-27,5,7132,1
2006-07-27,5,7332,2
2006-07-27,5,8070,4
2006-07-27,5,8075,6
2006-07-27,5,8708,3
2006-07-27,5,11071,1
2006-07-27,5,12322,2
2006-07-27,5,13749,2
2006-07-27,5,13867,2
2006-07-27,5,17897,1
2006-07-27,5,18566,1
2006-07-27,5,27257,2
2006-07-27,5,30496,2
2006-07-27,5,32575,2
2006-07-28,5,46,1
2006-07-28,5,852,2
2006-07-28,5,1901,3
2006-07-28,5,2152,2
2006-07-28,5,3561,3
2006-07-28,5,4134,7
2006-07-28,5,4812,4
2006-07-28,5,8070,8
2006-07-28,5,8075,3
2006-07-28,5,8708,1
2006-07-28,5,8972,6
2006-07-28,5,9316,2
2006-07-28,5,9800,2
2006-07-28,5,9803,1
2006-07-28,5,12322,4
2006-07-28,5,13749,1
2006-07-28,5,13867,2
2006-07-28,5,15083,2
2006-07-28,5,17964,1
2006-07-28,5,20161,1
2006-07-28,5,21844,2
2006-07-28,5,24400,2
2006-07-28,5,25761,1
2006-07-28,5,29208,3
2006-07-28,5,30315,1
2006-07-29,5,553,4
2006-07-29,5,702,4
2006-07-29,5,2152,3
2006-07-29,5,3112,3
2006-07-29,5,3215,1
2006-07-29,5,3269,4
2006-07-29,5,3356,3
2006-07-29,5,3388,4
2006-07-29,5,3561,1
2006-07-29,5,4812,2
2006-07-29,5,6568,1
2006-07-29,5,8070,4
2006-07-29,5,8075,6
2006-07-29,5,12769,2
2006-07-29,5,13041,2
2006-07-29,5,13867,2
2006-07-29,5,15512,2
2006-07-29,5,27257,1
2006-07-29,5,27364,2
2006-07-29,5,30058,1
2006-07-29,5,30380,4
2006-07-30,5,2152,2
2006-07-30,5,2614,1
2006-07-30,5,4134,22
2006-07-30,5,4837,18
2006-07-30,5,6140,1
2006-07-30,5,6453,2
2006-07-30,5,7132,3
2006-07-30,5,8070,6
2006-07-30,5,8075,3
2006-07-30,5,8166,1
2006-07-30,5,9318,2
2006-07-30,5,13867,2
2006-07-30,5,14492,2
2006-07-30,5,15471,2
2006-07-30,5,17465,1
2006-07-30,5,18302,1
2006-07-30,5,30315,2
2006-07-31,5,2152,1
2006-07-31,5,3112,1
2006-07-31,5,3561,2
2006-07-31,5,3595,3
2006-07-31,5,4134,38
2006-07-31,5,5483,1
2006-07-31,5,7132,5
2006-07-31,5,8070,6
2006-07-31,5,8075,4
2006-07-31,5,13867,2
2006-07-31,5,14361,2
2006-07-31,5,15557,1
2006-07-31,5,18118,1
2006-07-31,5,19029,2
2006-07-31,5,19169,1
2006-07-31,5,20474,6
2006-07-31,5,23724,4
2006-08-01,5,2152,2
2006-08-01,5,3320,4
2006-08-01,5,3356,2
2006-08-01,5,3561,1
2006-08-01,5,4134,1
2006-08-01,5,4812,2
2006-08-01,5,7132,23
2006-08-01,5,8070,3
2006-08-01,5,8075,8
2006-08-01,5,9316,1
2006-08-01,5,12322,1
2006-08-01,5,13867,2
2006-08-01,5,16246,1
2006-08-01,5,18118,4
2006-08-01,5,25525,2
2006-08-02,5,1239,1
2006-08-02,5,2152,2
2006-08-02,5,2900,5
2006-08-02,5,3320,2
2006-08-02,5,3561,1
2006-08-02,5,4134,26
2006-08-02,5,4230,1
2006-08-02,5,7132,2
2006-08-02,5,8070,6
2006-08-02,5,8075,5
2006-08-02,5,8708,1
2006-08-02,5,13867,2
2006-08-02,5,17676,2
2006-08-02,5,21844,1
2006-08-02,5,27257,2
2006-08-02,5,39561,1
2006-08-03,5,2152,2
2006-08-03,5,2614,2
2006-08-03,5,3462,2
2006-08-03,5,3561,1
2006-08-03,5,4134,10
2006-08-03,5,4766,5
2006-08-03,5,4812,4
2006-08-03,5,4837,2
2006-08-03,5,5483,2
2006-08-03,5,5719,2
2006-08-03,5,6128,2
2006-08-03,5,7132,2
2006-08-03,5,8070,3
2006-08-03,5,8075,6
2006-08-03,5,9803,2
2006-08-03,5,12181,1
2006-08-03,5,13867,2
2006-08-03,5,15305,2
2006-08-04,5,701,3
2006-08-04,5,1239,1
2006-08-04,5,1955,4
2006-08-04,5,2152,2
2006-08-04,5,3561,4
2006-08-04,5,4812,14
2006-08-04,5,5413,2
2006-08-04,5,8070,6
2006-08-04,5,8075,4
2006-08-04,5,9155,5
2006-08-04,5,9371,1
2006-08-04,5,9768,4
2006-08-04,5,13867,2
2006-08-04,5,25232,2
2006-08-04,5,32475,1
2006-08-05,5,2152,3
2006-08-05,5,3561,1
2006-08-05,5,3591,1
2006-08-05,5,4134,23
2006-08-05,5,4323,1
2006-08-05,5,4665,2
2006-08-05,5,4732,2
2006-08-05,5,4812,2
2006-08-05,5,5413,1
2006-08-05,5,7132,1
2006-08-05,5,7497,1
2006-08-05,5,8070,7
2006-08-05,5,8075,3
2006-08-05,5,9803,1
2006-08-05,5,9808,1
2006-08-05,5,9812,24
2006-08-05,5,12778,1
2006-08-05,5,13749,1
2006-08-05,5,13867,2
2006-08-05,5,15974,2
2006-08-05,5,25560,1
2006-08-05,5,29131,2
2006-08-05,5,32475,3
2006-08-06,5,12,2
2006-08-06,5,17,1
2006-08-06,5,156,1
2006-08-06,5,209,1
2006-08-06,5,1955,4
2006-08-06,5,2042,4
2006-08-06,5,2116,2
2006-08-06,5,2152,4
2006-08-06,5,3790,1
2006-08-06,5,4134,11
2006-08-06,5,4538,1
2006-08-06,5,4766,2
2006-08-06,5,7132,1
2006-08-06,5,7303,1
2006-08-06,5,7497,1
2006-08-06,5,8070,8
2006-08-06,5,8075,3
2006-08-06,5,9353,1
2006-08-06,5,13867,2
2006-08-06,5,14492,1
2006-08-06,5,24940,1
2006-08-06,5,29550,2
2006-08-07,5,1955,1
2006-08-07,5,2152,3
2006-08-07,5,3462,5
2006-08-07,5,3561,1
2006-08-07,5,4134,2
2006-08-07,5,4837,29
2006-08-07,5,6167,2
2006-08-07,5,7132,2
2006-08-07,5,8070,5
2006-08-07,5,8075,6
2006-08-07,5,13867,2
2006-08-07,5,14265,2
2006-08-07,5,15083,2
2006-08-07,5,18177,5
2006-08-07,5,19262,1
2006-08-07,5,25973,1
2006-08-07,5,30340,2
2006-08-08,5,209,1
2006-08-08,5,2152,3
2006-08-08,5,3595,1
2006-08-08,5,3741,1
2006-08-08,5,4134,4
2006-08-08,5,4713,4
2006-08-08,5,4732,4
2006-08-08,5,4812,3
2006-08-08,5,7132,1
2006-08-08,5,8070,8
2006-08-08,5,8075,3
2006-08-08,5,9712,2
2006-08-08,5,9829,2
2006-08-08,5,12173,2
2006-08-08,5,13867,2
2006-08-08,5,15305,4
2006-08-08,5,33314,1
2006-08-08,5,35017,1
2006-08-09,5,2152,9
2006-08-09,5,2697,2
2006-08-09,5,2914,2
2006-08-09,5,3215,1
2006-08-09,5,3269,2
2006-08-09,5,3790,2
2006-08-09,5,7132,2
2006-08-09,5,8070,4
2006-08-09,5,8075,6
2006-08-09,5,9803,1
2006-08-09,5,13867,2
2006-08-09,5,21844,2
2006-08-09,5,29550,2
2006-08-09,5,31797,5
2006-08-10,5,209,2
2006-08-10,5,1668,3
2006-08-10,5,1901,1
2006-08-10,5,2152,9
2006-08-10,5,2828,1
2006-08-10,5,3549,2
2006-08-10,5,3595,1
2006-08-10,5,4713,4
2006-08-10,5,4812,2
2006-08-10,5,4837,25
2006-08-10,5,5763,4
2006-08-10,5,6147,4
2006-08-10,5,7132,2
2006-08-10,5,8070,5
2006-08-10,5,8075,5
2006-08-10,5,9706,1
2006-08-10,5,13867,2
2006-08-10,5,14361,2
2006-08-10,5,17184,3
2006-08-10,5,19916,1
2006-08-10,5,36066,4
2006-08-11,5,209,1
2006-08-11,5,680,2
2006-08-11,5,1133,2
2006-08-11,5,2152,10
2006-08-11,5,4134,8
2006-08-11,5,4837,1
2006-08-11,5,7132,1
2006-08-11,5,8070,5
2006-08-11,5,8075,6
2006-08-11,5,13867,2
2006-08-11,5,26496,1
2006-08-12,5,209,2
2006-08-12,5,680,2
2006-08-12,5,786,2
2006-08-12,5,1221,2
2006-08-12,5,2152,9
2006-08-12,5,4134,4
2006-08-12,5,4766,4
2006-08-12,5,4837,23
2006-08-12,5,7018,1
2006-08-12,5,8070,6
2006-08-12,5,8075,6
2006-08-12,5,8220,8
2006-08-12,5,10013,1
2006-08-12,5,11908,8
2006-08-12,5,13867,2
2006-08-12,5,15412,5
2006-08-12,5,18566,4
2006-08-12,5,24587,3
2006-08-12,5,29550,2
2006-08-12,5,30380,4
2006-08-12,5,32613,1
2006-08-13,5,226,1
2006-08-13,5,786,2
2006-08-13,5,2152,7
2006-08-13,5,2527,4
2006-08-13,5,3320,2
2006-08-13,5,4134,10
2006-08-13,5,4323,4
2006-08-13,5,4713,3
2006-08-13,5,4837,1
2006-08-13,5,7132,1
2006-08-13,5,8070,5
2006-08-13,5,8075,4
2006-08-13,5,13749,1
2006-08-13,5,13867,2
2006-08-13,5,19262,4
2006-08-13,5,23724,4
2006-08-13,5,26496,1
2006-08-13,5,29550,2
2006-08-13,5,30380,2
2006-08-14,5,137,2
2006-08-14,5,209,2
2006-08-14,5,226,1
2006-08-14,5,2152,22
2006-08-14,5,3561,5
2006-08-14,5,4134,2
2006-08-14,5,4766,4
2006-08-14,5,6432,9
2006-08-14,5,6966,10
2006-08-14,5,7018,15
2006-08-14,5,7342,2
2006-08-14,5,7896,2
2006-08-14,5,8070,7
2006-08-14,5,8075,3
2006-08-14,5,8190,4
2006-08-14,5,11604,2
2006-08-14,5,13867,2
2006-08-14,5,14779,6
2006-08-14,5,15169,21
2006-08-14,5,15635,3
2006-08-14,5,17110,10
2006-08-14,5,18245,1
2006-08-14,5,18942,2
2006-08-14,5,22822,8
2006-08-14,5,22846,2
2006-08-14,5,25751,3
2006-08-14,5,26085,8
2006-08-14,5,26101,28
2006-08-14,5,26277,2
2006-08-14,5,30060,4
2006-08-14,5,33278,2
2006-08-14,5,36839,3
2006-08-15,5,137,4
2006-08-15,5,680,2
2006-08-15,5,2107,2
2006-08-15,5,2152,4
2006-08-15,5,3269,5
2006-08-15,5,3320,2
2006-08-15,5,3356,1
2006-08-15,5,3561,1
2006-08-15,5,4134,3
2006-08-15,5,4766,3
2006-08-15,5,7796,1
2006-08-15,5,8070,4
2006-08-15,5,8075,6
2006-08-15,5,11908,2
2006-08-15,5,13867,2
2006-08-15,5,14744,3
2006-08-15,5,15965,1
2006-08-15,5,18566,2
2006-08-15,5,22822,4
2006-08-15,5,29550,4
2006-08-16,5,174,2
2006-08-16,5,1668,5
2006-08-16,5,2152,6
2006-08-16,5,2614,2
2006-08-16,5,2697,1
2006-08-16,5,3064,1
2006-08-16,5,4134,11
2006-08-16,5,4713,2
2006-08-16,5,6724,2
2006-08-16,5,7018,3
2006-08-16,5,7132,2
2006-08-16,5,8070,9
2006-08-16,5,8075,5
2006-08-16,5,8220,3
2006-08-16,5,9316,1
2006-08-16,5,12322,3
2006-08-16,5,13867,4
2006-08-16,5,18182,2
2006-08-16,5,22489,1
2006-08-16,5,31797,2
2006-08-17,5,209,1
2006-08-17,5,2152,3
2006-08-17,5,3356,2
2006-08-17,5,4134,11
2006-08-17,5,4812,1
2006-08-17,5,6325,2
2006-08-17,5,8070,6
2006-08-17,5,8075,4
2006-08-17,5,9304,1
2006-08-17,5,13867,2
2006-08-17,5,21844,1
2006-08-17,5,27257,3
2006-08-17,5,31983,1
2006-08-18,5,87,1
2006-08-18,5,2152,1
2006-08-18,5,3356,1
2006-08-18,5,4134,4
2006-08-18,5,4766,4
2006-08-18,5,5078,6
2006-08-18,5,6802,4
2006-08-18,5,7018,2
2006-08-18,5,8070,6
2006-08-18,5,8075,3
2006-08-18,5,8342,1
2006-08-18,5,9583,2
2006-08-18,5,12322,4
2006-08-18,5,12578,2
2006-08-18,5,13867,2
2006-08-18,5,14361,1
2006-08-18,5,20940,5
2006-08-18,5,21844,2
2006-08-18,5,29550,2
2006-08-18,5,32613,2
2006-08-19,5,137,2
2006-08-19,5,1659,2
2006-08-19,5,2152,5
2006-08-19,5,3215,2
2006-08-19,5,3292,2
2006-08-19,5,3505,1
2006-08-19,5,4134,322
2006-08-19,5,4713,7
2006-08-19,5,5413,1
2006-08-19,5,7132,2
2006-08-19,5,8070,7
2006-08-19,5,8075,3
2006-08-19,5,8972,1
2006-08-19,5,9318,1
2006-08-19,5,9930,2
2006-08-19,5,13767,1
2006-08-19,5,13867,2
2006-08-19,5,21844,3
2006-08-20,5,2152,6
2006-08-20,5,2501,1
2006-08-20,5,3320,1
2006-08-20,5,3561,1
2006-08-20,5,4134,1
2006-08-20,5,4837,1
2006-08-20,5,6197,2
2006-08-20,5,7796,1
2006-08-20,5,8070,6
2006-08-20,5,8075,4
2006-08-20,5,8514,1
2006-08-20,5,9304,1
2006-08-20,5,9371,1
2006-08-20,5,9768,2
2006-08-20,5,9800,1
2006-08-20,5,13407,2
2006-08-20,5,13867,2
2006-08-20,5,18566,2
2006-08-20,5,21840,1
2006-08-20,5,21844,1
2006-08-20,5,24940,4
2006-08-20,5,26458,1
2006-08-20,5,30315,2
2006-08-20,5,40028,1
2006-08-21,5,2152,4
2006-08-21,5,3320,1
2006-08-21,5,3561,1
2006-08-21,5,4134,1
2006-08-21,5,4713,2
2006-08-21,5,4750,3
2006-08-21,5,4766,2
2006-08-21,5,4837,1
2006-08-21,5,7132,2
2006-08-21,5,7455,4
2006-08-21,5,8070,6
2006-08-21,5,8075,4
2006-08-21,5,8402,2
2006-08-21,5,13867,2
2006-08-21,5,18302,1
2006-08-21,5,21844,2
2006-08-21,5,24940,2
2006-08-21,5,29550,5
2006-08-22,5,2152,5
2006-08-22,5,2914,4
2006-08-22,5,3269,1
2006-08-22,5,3356,1
2006-08-22,5,3561,1
